category,price,Gov,market,intrinsic,extrinsic,News
1,3,0,0,1,0,"VIỆT NAM ĐANG XUẤT NHIỀU GẠO NHẤT THẾ GIỚI VN đang là nước xuất khẩu gạo nhiều và giá cao nhất thế giới. Chỉ tính riêng trong tháng 8, VN đã xuất khẩu gần 1 triệu tấn, mang về nguồn thu hơn nửa tỉ USD."
1,0,0,0,1,0,"XUẤT KHẨU GẠO 8 THÁNG ĐẠT MỨC KỶ LỤC 8 tháng, xuất khẩu gạo đạt gần 6 triệu tấn, mức cao nhất từ trước đến nay, tăng 20% so cùng kỳ và hoàn thành 89% kế hoạch năm"
1,3,3,3,0,0,"PHILIPPINES ĐÀM PHÁN MUA GẠO VIỆT NAM, ẤN ĐỘ Để hạ nhiệt trong nước, Philippines vừa nhận báo giá gạo tốt hơn từ Việt Nam và đang thuyết phục Ấn Độ bán hàng, theo Bloomber"
1,0,1,0,0,0,"GIỮ THƯƠNG HIỆU GẠO VIỆT GIỮA BIẾN ĐỘNG LƯƠNG THỰC TOÀN CẦU Bộ trưởng Bộ Công Thương Nguyễn Hồng Diên nhiều lần nhấn mạnh đến sự hợp tác giữa các bộ, ngành, doanh nghiệp, địa phương sao cho việc tổ chức sản xuất lúa gạo thông suốt qua các chuỗi giá trị bền vững."
1,3,0,3,0,0,"GIÁ GẠO TĂNG NHANH, GIỚI BUÔN THẬN TRỌNG NHẬP HÀNG Một tuần qua, giá gạo tại các chợ ở miền Tây tiếp tục tăng nhanh, mỗi ngày một giá khiến người bán lo lỗ khi nhập thêm nếu giá quay đầu giảm."
1,2,3,2,0,0,"BỘ CÔNG THƯƠNG BAN HÀNH CHỈ THỊ VỀ XUẤT KHẨU GẠO VÀ BÌNH ỔN THỊ TRƯỜNG TRONG NƯỚC Chỉ thị mới của bộ Công Thương nhằm giúp công tác điều hành xuất khẩu gạo đảm bảo mục tiêu tiêu thụ thóc, gạo hàng hóa; cân đối xuất khẩu và tiêu dùng nội địa."
1,3,3,2,0,0,"GIÁ LÚA GẠO LÊN CAO, THỦ TƯỚNG RA CHỈ THỊ ""NÓNG"" Trước tình hình giá gạo tăng cao, Thủ tướng yêu cầu phát huy lợi thế trong sản xuất lúa gạo và cơ hội của thị trường xuất khẩu nhưng vẫn phải đảm bảo vững chắc an ninh lương thực quốc gia."
1,2,0,3,0,0,"THỊ TRƯỜNG TRẦM LẮNG, GIÁ GẠO GIẢM NHIỆT Những ngày cuối tháng 9, giá gạo VN và thế giới về quanh mốc 600 USD/tấn. Nếu so với đỉnh điểm cách đây một tháng, giá gạo đã giảm khoảng 40 USD/tấn. Điều gì làm giá gạo giảm nhanh và liệu sẽ còn kéo dài?"
1,3,1,3,0,0,"ẤN ĐỘ SIẾT THÊM NGUỒN CUNG GẠO TOÀN CẦU Ấn Độ - nước xuất khẩu gạo lớn nhất thế giới - vừa công bố thêm các quy định nhằm siết bán gạo ra nước ngoài.
"
1,1,0,1,0,0,"THỊ TRƯỜNG XUẤT KHẨU GẠO CÒN NHIỀU BIẾN ĐỘNG Theo Hiệp hội Lương thực Việt Nam, tuần qua giá gạo xuất khẩu của Việt Nam và các nước trên thế giới đều ghi nhận sự sụt giảm nhẹ. Từ đó kéo theo giá lúa trong nước cũng giảm nhẹ do thị trường giao dịch chậm"
1,3,0,3,0,2,"EL NINO KHIẾN NHIỀU NƯỚC TĂNG MUA GẠO VIỆT VÀI CHỤC LẦN 5 tháng đầu năm, nhiều quốc gia ở châu Á và Trung Đông ồ ạt mua gạo Việt với kim ngạch tăng từ 30% đến vài chục lần"
1,3,0,3,0,2,"GIÁ GẠO XUẤT KHẨU CAO NHẤT 10 NĂM Nguồn cung gạo trên thế giới giảm, El Nino khiến nhiều quốc gia đua nhập gạo Việt đẩy giá lên cao nhất 10 năm.
"
1,3,0,3,1,0,"XUẤT KHẨU GẠO TIẾP TỤC KHỞI SẮC Chỉ trong 5 tháng đầu năm, xuất khẩu gạo đã đạt 3,62 triệu tấn, là mặt hàng hiếm hoi có kim ngạch xuất khẩu tăng trong bối cảnh khó khăn chung."
1,0,3,2,3,2,"DỰ TRỮ GẠO ẤN ĐỘ GẤP BA LẦN MỤC TIÊU, GIẢM BỚT LO NGẠI VỀ NGUỒN CUNG Dự trữ gạo của Ấn Độ cao gần gấp ba lần so với mục tiêu vào đầu tháng 8, hai nguồn tin chính phủ tại quốc gia sản xuất gạo lớn thứ hai thế giới cho biết hôm thứ Năm, ngày 3/8/2023.
"
1,3,0,3,1,0,"XUẤT KHẨU GẠO: KÉO DÀI ĐÀ TĂNG TRƯỞNG Chỉ trong 5 tháng đầu năm, xuất khẩu gạo của Việt Nam đã đạt 3,62 triệu tấn, là một trong những mặt hàng hiếm hoi có kim ngạch xuất khẩu tăng trong bối cảnh khó khăn chung. Dự báo trong những tháng tiếp theo, gạo vẫn sẽ là một trong những mặt hàng xuất khẩu chủ lực của Việt Nam khi nhu cầu lương thực trên thế giới tăng cao."
1,3,3,3,0,0,"LO LẠM PHÁT, ẤN ĐỘ TÍNH CẤM XUẤT KHẨU GẠO Nếu được thực hiện, lệnh cấm xuất khẩu có thể ảnh hưởng tới khoảng 80% lượng gạo xuất khẩu của Ấn Độ...
"
1,3,0,3,0,2,"EL NINO ẢNH HƯỞNG NGUỒN CUNG GẠO TOÀN CẦU RA SAO? Trong tuần đầu tháng 6, thị trường gạo châu Á trầm lắng, giá giảm nhẹ ở một số nước. Tuy nhiên, hiện tượng El Nino khiến nguồn cung giảm và nhu cầu tiêu thụ vẫn cao nên giá sẽ còn duy trì ở mức cao.
"
1,3,3,1,0,0,"SAU ẤN ĐỘ, THÊM NGA VÀ UAE CẤM XUẤT KHẨU GẠO Mới đây, Nga và UAE đã thông báo ngừng bán gạo ra nước ngoài, chỉ một tuần sau lệnh cấm của Ấn Độ. Điều này có thể gây ra những xáo trộn trong việc mua bán ở nhiều quốc gia và đẩy giá gạo tăng cao."
1,3,3,1,0,0,"TẠI SAO LỆNH CẤM XUẤT KHẨU GẠO CỦA ẤN ĐỘ LẠI TÁC ĐỘNG QUAN TRỌNG ĐỐI VỚI THƯƠNG MẠI TOÀN CẦU? Ngày 20/7, Ấn Độ đã quyết định cấm xuất khẩu gạo trắng non-basmati, sửa đổi chính sách từ “miễn thuế xuất khẩu 20%"" thành ""cấm"" và có hiệu lực ngay lập tức"
1,0,0,0,2,0,"ĐỀ ÁN 1 TRIỆU HA LÚA CHẤT LƯỢNG CAO Ở ĐBSCL: TĂNG GIÁ TRỊ HẠT GẠO VIỆT Làm được ĐỀ ÁN 1 TRIỆU HA LÚA CHẤT LƯỢNG CAO Ở ĐBSCL: TĂNG GIÁ TRỊ HẠT GẠO VIỆT, người dân tăng cơ hội sản xuất và sử dụng gạo sạch, gạo xuất khẩu của Việt Nam thêm uy tín và tăng giá trị chứ không chỉ chạy theo số lượng như thời gian qua. Vấn đề là vốn và mô hình cụ thể để đảm bảo có gạo chất lượng."
1,3,0,0,2,0,"THỜI CƠ LỚN ĐỂ CHUẨN HÓA, NÂNG CẤP NGÀNH HÀNG LÚA GẠO Việc giá gạo xuất khẩu tăng cao nhất trong 10 năm qua, cùng với những thuận lợi trên thị trường hiện nay, doanh nghiệp Việt Nam đang đứng trước cơ hội lớn để đẩy mạnh xuất khẩu; đồng thời đây cũng là thời cơ để Việt Nam nâng cấp, chuẩn hóa ngành hàng lúa gạo, tạo sự phát triển bền vững, trong tương lai…"
1,3,0,0,0,0,"VƯỢT THÁI LAN, GIÁ GẠO VIỆT TĂNG CAO NHẤT HAI NĂM Báo cáo mới nhất của Bộ Nông nghiệp và Phát triển Nông thôn cho thấy, 4 tháng đầu năm xuất khẩu gạo đạt gần 3 triệu tấn, tương đương 1,56 tỷ USD, tăng 43,6% về khối lượng và 54,5% về giá trị so với cùng kỳ năm 2022."
1,2,1,0,0,0,PHÁT TRIỂN ĐA DẠNG HÓA CÁC THỊ TRƯỜNG XUẤT KHẨU GẠO Phó Thủ tướng Lê Minh Khái vừa ký Quyết định số 583/QĐ-TTg ngày 26/5/2023 phê duyệt Chiến lược phát triển thị trường xuất khẩu gạo của Việt Nam đến năm 2030 (Chiến lược)
1,3,0,0,0,0,"GẠO VÀ HÀNG THIẾT YẾU - ĐIỂM SÁNG TRONG BỨC TRANH XUẤT KHẨU Trong khi xuất khẩu dệt may, gỗ, thủy sản giảm mạnh 4 tháng đầu năm, hàng thiết yếu, gạo và trái cây Việt xuất đi các nước tăng trưởng ngược dòng."
1,3,0,3,0,0,"CƠ HỘI XUẤT KHẨU GẠO CỦA VIỆT NAM RẤT LỚN KHI NHU CẦU THẾ GIỚI TĂNG Dự báo nguồn cung lương thực giảm mạnh trong khi nhu cầu dự trữ của các nước tăng cao, xuất khẩu gạo của Việt Nam có thể đạt kỷ lục trong năm nay."
1,3,1,3,0,1,"VIỆT NAM TRỞ THÀNH NƯỚC XUẤT KHẨU GẠO LỚN NHẤT VÀO TRUNG QUỐC Trung Quốc đã tăng gần gấp đôi lượng gạo nhập khẩu từ Việt Nam trong 4 tháng đầu năm nay sau khi nước này dỡ bỏ chính sách Zero COVID và mở cửa trở lại nền kinh tế, qua đó đưa Việt Nam trở thành nước xuất khẩu gạo lớn nhất vào Trung Quốc.
"
1,3,3,3,0,3,"THỊ TRƯỜNG TIÊU THỤ GẠO LỚN NHẤT CỦA VIỆT NAM MUỐN NHẬP THÊM 330.000 TẤN GẠO Cơ quan Lương thực Quốc gia Philippines (NFA) đã đề xuất nhập khẩu 330.000 tấn gạo để bù đắp thâm hụt dự kiến trong kho dự trữ, giữa lúc chính phủ nước này đang tìm cách kiềm chế giá cả của mặt hàng gạo và hạn chế áp lực gia tăng đối với lạm phát."
1,3,0,0,0,0,"KIM NGẠCH XUẤT KHẨU GẠO CỦA CẢ NƯỚC 4 THÁNG NĂM 2023 TĂNG 54,5% Tổng khối lượng và giá trị xuất khẩu gạo 4 tháng đầu năm đạt 2,95 triệu tấn với 1,56 tỷ USD, tăng 43,6% về khối lượng và tăng 54,5% về giá trị, mức tăng cao nhất trong nhóm nông sản chủ lực.
"
1,2,1,0,3,0,"MỸ SẼ HỖ TRỢ ĐỀ ÁN 1 TRIỆU HA LÚA GIÁ TỈ ĐÔ LA CỦA VIỆT NAM Bộ trưởng Bộ Nông nghiệp Mỹ Thomas J. Vilsack khẳng định sẽ có một số hình thức hỗ trợ tài chính cho đề án 1 triệu ha lúa chất lượng cao, và giảm phát thải mà Việt Nam đặt mục tiêu đạt được năm 2030.
"
1,3,0,3,0,0,"THẾ GIỚI ĐANG RẤT CẦN GẠO VIỆT NAM XUẤT KHẨU' Nhiều doanh nghiệp, địa phương nhìn nhận khả năng xuất khẩu gạo trong thời gian tới với cơ hội lớn khi giá cả đang rất tốt.
"
1,0,0,0,0,0,"VÌ SAO GẠO VIỆT CHƯA THỂ XÂY DỰNG ĐƯỢC THƯƠNG HIỆU MẠNH KHI XUẤT KHẨU ? Trong các loại nông sản, gạo xây dựng được thương hiệu mạnh nhất. Gạo Việt cũng đã xuất khẩu được vào một số thị trường khó tính trên thế giới. Thế nhưng theo GS Võ Tòng Xuân, 'cha đẻ' của nhiều giống gạo ngon ở ĐBSCL, để xây dựng được gạo trở thành thương hiệu mạnh, nói đến gạo, nghĩ đến Việt Nam thì còn rất nhiều việc phải làm.
"
1,3,3,3,0,0,"INDONESIA CẦN 2 TRIỆU TẤN GẠO DỰ TRỮ: CƠ HỘI TỐT CHO GẠO VIỆT XUẤT KHẨU Bộ Công Thương dẫn thông tin mới nhất từ Bộ Thương mại Indonesia cho biết, Indonesia sẽ nhập khẩu 2 triệu tấn gạo dự trữ quốc gia trong năm 2023. Điều này mở ra cơ hội rất tốt cho các doanh nghiệp xuất khẩu gạo của Việt Nam.
"
1,0,0,0,0,0,"VIỆT NAM ĐĂNG CAI TỔ CHỨC HỘI NGHỊ TOÀN CẦU HỆ THỐNG LƯƠNG THỰC THỰC PHẨM LẦN THỨ 4 Bộ NN&PTNT cho biết, Hội nghị toàn cầu Hệ thống lương thực thực phẩm lần thứ 4 dự kiến tổ chức từ ngày 24-28/4, tại Hà Nội với sự tham gia của nhiều bộ trưởng, thứ trưởng, trưởng ngành của các quốc gia, tổ chức quốc tế.
"
1,3,0,0,0,0,"BỘ CÔNG THƯƠNG: GIÁ GẠO XUẤT KHẨU VIỆT NAM CAO NHẤT THẾ GIỚI Từ tháng 8/2022, giá gạo xuất khẩu loại 5% tấm của Việt Nam vượt Thái Lan, Ấn Độ và ở mức cao nhất thế giới.
"
1,3,0,3,0,0,"INDONESIA CÓ THỂ NHẬP KHẨU THÊM 500.000 TẤN GẠO TRONG NĂM NAY Bộ Thương mại Indonesia (In-đô-nê-xi-a) cho biết quốc gia Đông Nam Á này có thể nhập khẩu thêm 500.000 tấn gạo trong năm nay để lấp đầy kho dự trữ gạo quốc gia (CBP) vốn đang giảm dần.
"
0,0,0,0,0,0,"2 THÁNG ĐẦU NĂM 2023, XUẤT KHẨU GỖ VÀ SẢN PHẨM GỖ GIẢM 2 CON SỐ 2 tháng đầu năm 2023, xuất khẩu gỗ và sản phẩm gỗ ước đạt 1,6 tỷ USD, giảm 34,8% so với cùng kỳ năm 2022.
"
1,3,3,3,0,0,"GIÁ GẠO XUẤT KHẨU TIẾP TỤC TĂNG TRONG NĂM 2023, CỔ PHIẾU NÀO TIỀM NĂNG? Giá xuất khẩu gạo được kỳ vọng sẽ tiếp tục tăng trong năm 2023 do nhu cầu dự trữ lương thực ở nhiều quốc gia tăng, Ấn Độ chưa có kế hoạch dỡ bỏ lệnh cấm xuất khẩu gạo tấm hay bỏ áp thuế 20% xuất khẩu gạo trắng trong năm 2023...
"
1,3,0,3,0,0,"GIÁ GẠO XUẤT KHẨU TĂNG CAO NHẤT 10 NĂM QUA Giá gạo xuất khẩu bình quân 3 tháng đầu năm 2023 đạt 531 USD/tấn, tăng 9,2% so với cùng kỳ năm 2022 và cao nhất trong vòng 10 năm qua. Đặc biệt, giá gạo xuất khẩu bình quân sang Trung Quốc đạt 589 USD/tấn, tăng hơn 18% so với cùng kỳ năm trước…
"
1,3,0,3,1,0,"XUẤT KHẨU GẠO SANG TRUNG QUỐC NHỜ ĐÂU TĂNG MẠNH CẢ LƯỢNG VÀ GIÁ? Xuất khẩu gạo vào một trong những thị trường chính là Trung Quốc tăng trưởng trên 182% về kim ngạch, nhờ tăng mạnh cả lượng và giá.
"
1,0,1,0,0,0,"NGHĨ VỀ 1 TRIỆU HA CHUYÊN CANH LÚA CHẤT LƯỢNG CAO VÀ TĂNG TRƯỞNG XANH Vùng chuyên canh lúa 1 triệu ha có quy mô rất lớn, vì vậy cần có sự lựa chọn các bước đi một cách khoa học theo phương châm “làm chắc, kết quả thật”.
"
1,0,0,0,0,0,"GẠO VIỆT NAM TRÊN CÁNH ĐỒNG THÁI LAN Nông dân Thái Lan đang âm thầm chuyển sang canh tác các giống lúa Việt Nam do rẻ hơn, dễ canh tác hơn và ăn dẻo tương tự, được người tiêu dùng ưa chuộng. Tuy nhiên, nhà chức trách Thái Lan đang lo ngại giống ngoại giúp nông dân đáp ứng nhu cầu giá rẻ nhưng làm mất thương hiệu quốc gia.
"
1,3,2,3,0,0,"GẠO VIỆT NAM NGÀY CÀNG ĐƯỢC ƯA CHUỘNG TẠI ANH Các công ty Anh đang quan tâm nhiều hơn đến gạo Việt Nam do nhu cầu ngày một tăng và các ưu đãi từ Hiệp định thương mại tự do Anh - Việt Nam (UKVFTA).
"
1,3,0,3,0,3,"GẠO VIỆT TỰ TIN CHINH PHỤC THẾ GIỚI Dự tính, trong tháng 12, Việt Nam sẽ xuất khẩu khoảng hơn 600.000 tấn gạo. Với đà này, năm 2022, xuất khẩu gạo nhiều khả năng đạt hơn 7 triệu tấn, trị giá gần 4 tỷ USD. Đây là con số ấn tượng trong bối cảnh kinh tế thế giới suy giảm, lạm phát kéo dài, cũng là minh chứng cho những nỗ lực, bứt phá của ngành nông sản Việt Nam nói chung, lúa gạo nói riêng.
"
1,2,0,0,0,0,"PHILIPPINES SẼ VẪN LÀ KHÁCH MUA GẠO LỚN NHẤT CỦA VIỆT NAM Cả hai nhà xuất khẩu gạo là Campuchia và Thái Lan đều muốn ""lấn sân"" nhiều hơn vào thị trường Philippines trong khi quốc gia này đang nhập 90% từ Việt Nam.
"
1,3,0,3,0,0,"USDA DỰ KIẾN VIỆT NAM SẼ TĂNG XUẤT KHẨU GẠO KỶ LỤC TRONG NĂM 2023 USDA dự kiến Australia, Myanmar, Guyana, Paraguay, Thái Lan và Việt Nam sẽ tăng xuất khẩu gạo trong năm 2023. Xuất khẩu của Thái Lan dự kiến sẽ tăng 0,6 triệu tấn lên 8,2 triệu tấn, Việt Nam lên kỷ lục hơn 7 triệu tấn, chủ yếu do sự cạnh tranh từ các đối thủ là Ấn Độ và Pakistan giảm bớt.
"
1,2,1,0,2,0,"LẤY Ý KIẾN VỀ ĐỀ ÁN PHÁT TRIỂN 1 TRIỆU HÉC TA LÚA CHẤT LƯỢNG CAO Ở ĐBSCL Bộ Nông nghiệp và Phát triển nông thôn đề nghị UBND các địa phương vùng Đồng bằng sông Cửu Long (ĐBSCL) cho ý kiến để hoàn thiện đề án phát triển 1 triệu héc ta lúa chất lượng cao ở vùng này. Đây sẽ là cơ sở để đơn vị này hoàn thiện các nội dung và giải pháp tổ chức thực hiện đề án.
"
1,3,0,3,0,0,"ĐÀI LOAN TĂNG MUA GẠO VIỆT Năm 2022, Đài Loan nhập gạo từ Việt Nam tăng hơn 30% về lượng và gần 19% về giá trị so với năm 2021.
"
1,2,3,0,0,0,"ẤN ĐỘ: CÂN NHẮC LẠI LỆNH CẤM XUẤT KHẨU GẠO Hoạt động thu mua lúa gạo đang có tiến độ ổn định với giá gạo nội địa bắt đầu quay trở lại bình thường, chính phủ Ấn Độ có thể cân nhắc lại lệnh cấm xuất khẩu gạo tấm, mặc dù lệnh cấm hiện vẫn đang được thực thi. Xuất khẩu gạo hoàn toàn như hiện nay nhưng các vấn đề vẫn đang trong giai đoạn thảo luận.
"
1,3,0,3,0,0,"XUẤT KHẨU GẠO KHỞI SẮC NGAY TỪ ĐẦU NĂM Thông thường vào thời điểm đầu năm xuất khẩu gạo chờ đợi đơn hàng mới nên tốc độ xuất khẩu chậm lại. Tuy nhiên, ngay từ đầu năm 2023, nhiều tín hiệu cho thấy thị trường xuất khẩu gạo có nhiều khởi sắc, doanh nghiệp xuất khẩu đã ký kết được nhiều đơn hàng mới.
"
1,1,0,1,0,0,"GẠO VIỆT DẦN VẮNG BÓNG TẠI THỊ TRƯỜNG TRUNG QUỐC Xuất khẩu gạo năm 2022 đạt hơn 7,1 triệu tấn, thu về 3,45 tỷ USD, vượt xa mục tiêu đề ra. Tuy nhiên, khách hàng lớn nhất của gạo Việt vẫn là Philippines, còn tại thị trường Trung Quốc gạo Việt dần vắng bóng.
"
1,1,0,1,0,0,"VIỆT NAM NHẬP GẦN 1 TRIỆU TẤN GẠO: CẦN KIỂM SOÁT CHẶT Các doanh nghiệp cho rằng cơ quan chức năng cần kiểm soát chặt gạo cấp thấp nhập khẩu vào Việt Nam để tránh nguy cơ gian lận.
"
1,2,0,2,0,2,"NGÀNH DỰ TRỮ KHẨN TRƯƠNG HOÀN THÀNH CÁC NHIỆM VỤ KẾ HOẠCH NĂM 2022 Tổng cục Dự trữ Nhà nước điều hành quyết liệt, chỉ đạo toàn hệ thống ngành Dự trữ phấn đấu hoàn thành nhiệm vụ năm 2022, đặc biệt là xuất cấp kịp thời gạo dự trữ quốc gia hỗ trợ người dân khắc phục thiệt hại sau thiên tai, hỗ trợ giáp hạt, mất mùa, trồng rừng, hỗ trợ cho học sinh vùng khó khăn, theo chỉ đạo của Thủ tướng Chính phủ.
"
1,3,0,3,0,0,"GIÁ GẠO VIỆT TĂNG MẠNH, DỰ BÁO LẬP KỶ LỤC XUẤT KHẨU 4 TỶ USD Giá gạo xuất khẩu của Việt Nam tiếp tục tăng mạnh trong những ngày gần đây. Đặc biệt, trước nhu cầu lớn từ các thị trường vào dịp cuối năm, các doanh nghiệp Việt đang đầy ắp đơn hàng, dự báo xuất khẩu gạo cả năm có thể đạt hơn 7 triệu tấn với trị giá kỷ lục gần 4 tỷ USD.
"
1,1,1,0,0,0,"PHILIPPINES QUYẾT ĐỊNH KHÔNG TĂNG THUẾ NHẬP KHẨU GẠO, CƠ HỘI TỐT CHO GẠO VIỆT NAM Tổng thống Philippines Ferdinand Marcos Jr đã chấp thuận khuyến nghị của Bộ Kinh tế về việc kéo dài thời gian giảm thuế nhập khẩu gạo đến hết năm 2023. Đây là tín hiệu vui cho gạo Việt Nam vốn đang được ưa chuộng tại Philippines.
"
1,0,1,0,0,0,"Ý KIẾN TRÁI CHIỀU VỀ QUẢN LÝ GẠO NHẬP KHẨU Dự thảo Nghị định sửa đổi, bổ sung Nghị định số 107/2018/NĐ-CP về kinh doanh xuất khẩu gạo bổ sung quy định về quản lý nhập khẩu gạo song đề xuất này gây nhiều tranh luận.
"
1,3,2,3,0,0,"XUẤT KHẨU GẠO VIỆT NAM SANG BẮC ÂU TĂNG TRƯỞNG ĐẾN 73% NHỜ HIỆP ĐỊNH EVFTA Xuất khẩu gạo sang Bắc Âu đã đạt tốc độ tăng trưởng rất ấn tượng, trung bình 73%/năm trong giai đoạn 2017-2021.
"
1,3,0,0,0,0,"NGƯỜI TRỒNG LÚA THÊM TIN VUI Các dự báo và diễn biến thực tế cho thấy gạo Việt Nam tiếp tục mở rộng đường xuất khẩu tại cả thị trường truyền thống và thị trường mới. Đây là tin vui cho người trồng lúa vùng ĐBSCL dịp cuối năm.
"
1,3,0,0,0,0,"GIÁ GẠO XUẤT KHẨU CỦA VIỆT NAM ĐANG CAO NHẤT THẾ GIỚI Năm 2022, Việt Nam dự kiến xuất khẩu hơn 7 triệu tấn gạo, trị giá 3,5 tỉ USD. Đáng chú ý là giá gạo xuất khẩu của Việt Nam đang cao nhất thế giới.
"
1,3,0,3,0,0,"XUẤT KHẨU GẠO RỘNG CỬA Xuất khẩu gạo Việt Nam đang tạo ra những bất ngờ lớn nhờ xu hướng giá tăng và nhu cầu tiêu thụ cao.
"
